sid,id,position,created_at,created_meta,updated_at,updated_meta,meta,Borough Location,Park Location,Sports Played,Week Start Date,Week End Date,Sunday's Attendance,Monday's Attendance,Tuesday's Attendance,Wednesday's Attendance,Thursday's Attendance,Friday's Attendance,Saturday's Attendance,Attendance Sum
row-6e6e.hkmx-n37a,00000000-0000-0000-11F4-C4119C1106F9,0,1540996344,,1540996344,,{ },Manhattan,Thomas Jefferson Park,Soccer,2018-08-06T00:00:00,2018-08-10T00:00:00,0,14,0,0,0,0,0,14
row-765f-vcdg~gu2n,00000000-0000-0000-7584-91B1A58CE34A,0,1540996344,,1540996344,,{ },Manhattan,Thomas Jefferson Park,Soccer,2018-08-13T00:00:00,2018-08-17T00:00:00,0,4,0,0,0,0,0,4
row-qpdn-knte.y7va,00000000-0000-0000-78CE-7DE7E2DF7636,0,1540996344,,1540996344,,{ },Manhattan,Thomas Jefferson Park,Flag Football,2018-08-20T00:00:00,2018-08-24T00:00:00,0,7,0,0,0,0,0,7
row-aikv_pevw.mzzg,00000000-0000-0000-F66E-A341ABE598DB,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,lacrosse basketball volleyball soccer,2018-08-19T00:00:00,2018-08-19T00:00:00,0,0,209,140,176,118,273,916
row-mhd7~qyc6~uh8w,00000000-0000-0000-145C-1CD31E9D424D,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",2018-08-27T00:00:00,2018-08-31T00:00:00,0,87,80,37,42,26,0,272
row-7jzk-w7jk_zmm5,00000000-0000-0000-E7F2-62AD8F345F25,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",2018-09-04T00:00:00,2018-09-07T00:00:00,0,0,25,0,0,0,0,25
row-escd.w2xx.rjwb,00000000-0000-0000-EB4E-17DAFD75B101,0,1540996344,,1540996344,,{ },Staten Island,Playground for All Children,"flag football, basketball, bocce",2018-07-29T00:00:00,2018-08-04T00:00:00,0,0,42,28,52,25,32,179
row-kibv-wygv_tcpq,00000000-0000-0000-202C-F2D2A6AC47F4,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,basketball football soccer,2018-08-26T00:00:00,2018-09-01T00:00:00,0,0,104,123,75,42,202,546
row-uhk4-zpib.xxtf,00000000-0000-0000-9AD7-FE1A2A10E438,0,1540996344,,1540996344,,{ },Bronx,Williamsbridge Oval,"Basketball, Soccer, Flag Football, Kickball",2018-07-29T00:00:00,2018-08-04T00:00:00,0,20,24,27,24,31,15,141
row-7ak4~rk98.3ydz,00000000-0000-0000-7838-40EF33771200,0,1540996344,,1540996344,,{ },Bronx,Williamsbridge Oval,"Track and Field, Soccer , Basketball, Tennis",2018-08-05T00:00:00,2018-08-11T00:00:00,0,0,35,20,15,29,2,101
row-ic6w_fiy8_prbg,00000000-0000-0000-6918-4EF429B6DE9C,0,1540996344,,1540996344,,{ },Bronx,Williamsbridge Oval,"Basketball, Pickleball, Tennis , Soccer",2018-08-12T00:00:00,2018-08-18T00:00:00,0,25,27,16,12,31,12,123
row-dv3i~2mxm_a5py,00000000-0000-0000-F8DF-8C52864DA167,0,1540996344,,1540996344,,{ },Bronx,Williamsbridge Oval,"Basketball, Track and Field, Soccer, Pickle Ball, Tennis",2018-08-19T00:00:00,2018-08-25T00:00:00,0,24,33,29,25,23,10,144
